"","RMSE","Rsquared","time","id"
"eXtreme Grad. B.",2.961,0.872,33.5500000000002,"eXtreme Grad. B."
"Gradient Boosting",3.05,0.865,3.47000000000025,"Gradient Boosting"
"KNN",5.09,0.629,5.55999999999949,"KNN"
"Linear Reg.",3.539,0.82,1.05000000000018,"Linear Reg."
"NNrprop-",3.094,0.86,0.96,"NNrprop-"
"NNrprop+",2.917,0.877,1.73,"NNrprop+"
"NNsag",2.758,0.888,3.33,"NNsag"
"NNslr",3.02,0.866,8.14,"NNslr"
"Quadratic Reg.",2.981,0.869,1.28999999999996,"Quadratic Reg."
"Random Forest",2.771,0.893,37.6100000000001,"Random Forest"
"Rpart",5.181,0.611,1.51999999999998,"Rpart"
"svmLinear",3.628,0.808,7.15999999999985,"svmLinear"
"svmPoly",2.616,0.899,18.7599999999998,"svmPoly"
"svmRadial",3.394,0.835,7.54999999999973,"svmRadial"
"eXtreme Grad. B.1",4.329,0.928,36.49,"eXtreme Grad. B."
"Gradient Boosting1",5.134,0.899,4.05000000000001,"Gradient Boosting"
"KNN1",9.529,0.645,1.25,"KNN"
"Linear Reg.1",10.858,0.539,1.06999999999999,"Linear Reg."
"NNrprop-1",7.954,0.826,9.33,"NNrprop-"
"NNrprop+1",7.784,0.828,5.3,"NNrprop+"
"NNsag1",7.893,0.81,61.03,"NNsag"
"NNslr1",7.919,0.81,18,"NNslr"
"Quadratic Reg.1",8.121,0.742,1.14999999999998,"Quadratic Reg."
"Random Forest1",4.721,0.92,67.43,"Random Forest"
"Rpart1",12.827,0.362,1.65000000000003,"Rpart"
"svmLinear1",10.707,0.554,7.25,"svmLinear"
"svmPoly1",6.676,0.826,42.61,"svmPoly"
"svmRadial1",7.034,0.808,11.67,"svmRadial"
"eXtreme Grad. B.2",2.166,0.901,35.7200000000003,"eXtreme Grad. B."
"Gradient Boosting2",2.801,0.839,3.65999999999985,"Gradient Boosting"
"KNN2",5.663,0.315,1.36000000000013,"KNN"
"Linear Reg.2",5.012,0.458,1.17000000000007,"Linear Reg."
"NNrprop-2",3.084,0.796,84.9,"NNrprop-"
"NNrprop+2",3.115,0.792,62.11,"NNrprop+"
"NNsag2",4.096,0.638,7.03,"NNsag"
"NNslr2",3.437,0.746,20.25,"NNslr"
"Quadratic Reg.2",4.833,0.497,1.22999999999956,"Quadratic Reg."
"Random Forest2",1.879,0.932,89.5899999999997,"Random Forest"
"Rpart2",5.56,0.337,1.42000000000007,"Rpart"
"svmLinear2",5.071,0.459,10.8600000000001,"svmLinear"
"svmPoly2",4.021,0.652,79.25,"svmPoly"
"svmRadial2",3.409,0.752,21.1900000000001,"svmRadial"
