""," Segmentation","Ionosphere","Knowledge M","Boston Housing","Concrete CS","Airfoil SN"
"Adaboost","333.34","140.45","-","-","-","-"
"eXtreme Grad. B.","98.81","32.08","92.01","33.55","36.49","35.72"
"Gradient Boosting","39.57","4.78","6.22","3.47","4.05","3.66"
"KNN","9.41","1.22","1.03","5.56","1.25","1.36"
"LDA","3.06","-","1.08","-","-","-"
"Linear Reg.","-","-","-","1.05","1.07","1.17"
"Logistic","3.81","1.46","-","-","-","-"
"Naive Bayes","98.64","7.73","3.86","-","-","-"
"NNrprop-","37","1.06","31.34","0.96","9.33","84.9"
"NNrprop+","42.75","1.72","31.3","1.73","5.3","62.11"
"NNsag","37.67","3.74","61.7","3.33","61.03","7.03"
"NNslr","39.83","1.84","50.04","8.14","18","20.25"
"Quadratic Reg.","-","-","-","1.29","1.15","1.23"
"Random Forest","301.14","14.59","8.72","37.61","67.43","89.59"
"Rpart","2.64","1.49","1.24","1.52","1.65","1.42"
"sQDA","-","54.43","-","-","-","-"
"svmLinear","24.09","5.83","6.7","7.16","7.25","10.86"
"svmPoly","187.61","14.58","18.12","18.76","42.61","79.25"
"svmRadial","33.61","6.47","7.22","7.55","11.67","21.19"
